URL,popularity,song_title,year
http://www.metrolyrics.com/lightnin-hopkins-lyrics-rem.html,0,Lightnin' Hopkins Lyrics,2008
http://www.metrolyrics.com/lisa-sez-lyrics-rem.html,0,Lisa Sez Lyrics,2006
http://www.metrolyrics.com/little-america-lyrics-rem.html,0,Little America Lyrics,2006
http://www.metrolyrics.com/living-well-is-the-best-revenge-lyrics-rem.html,2,Living Well Is The Best Revenge Lyrics,2008
http://www.metrolyrics.com/loosing-my-religion-lyrics-rem.html,0,Loosing My Religion Lyrics,2006
http://www.metrolyrics.com/losing-my-religion-lyrics-rem.html,9,Losing My Religion Lyrics,2003
http://www.metrolyrics.com/lotus-lyrics-rem.html,1,Lotus Lyrics,2006
http://www.metrolyrics.com/love-is-all-around-lyrics-rem.html,2,Love Is All Around Lyrics,2014
http://www.metrolyrics.com/low-lyrics-rem.html,0,Low Lyrics,2014
http://www.metrolyrics.com/low-desert-lyrics-rem.html,0,Low Desert Lyrics,2006
http://www.metrolyrics.com/lynne-andy-lyrics-rem.html,0,Lynne & Andy Lyrics,2008
http://www.metrolyrics.com/make-it-all-ok-lyrics-rem.html,0,Make It All Ok Lyrics,2007
http://www.metrolyrics.com/make-it-all-okay-lyrics-rem.html,0,Make It All Okay Lyrics,2004
http://www.metrolyrics.com/man-on-the-moon-lyrics-rem.html,7,Man On The Moon Lyrics,2003
http://www.metrolyrics.com/man-on-the-moon-orchestral-lyrics-rem.html,0,Man On The Moon (orchestral) Lyrics,2008
http://www.metrolyrics.com/mansized-wreath-lyrics-rem.html,0,Man-Sized Wreath Lyrics,2008
http://www.metrolyrics.com/maps-and-legends-lyrics-rem.html,0,Maps And Legends Lyrics,2006
http://www.metrolyrics.com/me-in-honey-lyrics-rem.html,2,Me In Honey Lyrics,2006
http://www.metrolyrics.com/me-marlon-brando-marlon-brando-and-i-lyrics-rem.html,0,"Me, Marlon Brando, Marlon Brando and I Lyrics",2011
http://www.metrolyrics.com/milk-cookies-lyrics-rem.html,0,Milk & Cookies Lyrics,2008
http://www.metrolyrics.com/mine-smell-like-honey-lyrics-rem.html,0,Mine Smell Like Honey Lyrics,2011
http://www.metrolyrics.com/miracle-lyrics-rem.html,0,Miracle Lyrics,2008
http://www.metrolyrics.com/monty-got-a-raw-deal-lyrics-rem.html,0,Monty Got A Raw Deal Lyrics,2006
http://www.metrolyrics.com/moon-river-lyrics-rem.html,0,Moon River Lyrics,2006
http://www.metrolyrics.com/moral-kiosk-lyrics-rem.html,0,Moral Kiosk Lyrics,2006
http://www.metrolyrics.com/mrrichards-lyrics-rem.html,1,Mr. Richards Lyrics,2008
http://www.metrolyrics.com/mr-richards-lyrics-rem.html,0,Mr. Richards Lyrics,2008
http://www.metrolyrics.com/mystery-to-me-lyrics-rem.html,0,Mystery To Me Lyrics,2006
http://www.metrolyrics.com/narrator-lyrics-rem.html,0,Narrator Lyrics,2006
http://www.metrolyrics.com/near-wild-heaven-lyrics-rem.html,0,Near Wild Heaven Lyrics,2006
http://www.metrolyrics.com/new-orleans-instrumental-no-1-lyrics-rem.html,0,NEW ORLEANS INSTRUMENTAL NO. 1 Lyrics,2007
http://www.metrolyrics.com/new-test-leper-lyrics-rem.html,0,New Test Leper Lyrics,2011
http://www.metrolyrics.com/nightswimming-lyrics-rem.html,6,Nightswimming Lyrics,2003
http://www.metrolyrics.com/oddfellows-local-151-lyrics-rem.html,0,Oddfellows Local 151 Lyrics,2008
http://www.metrolyrics.com/oh-my-heart-lyrics-rem.html,0,Oh My Heart Lyrics,2011
http://www.metrolyrics.com/old-man-kensey-lyrics-rem.html,0,Old Man Kensey Lyrics,2006
http://www.metrolyrics.com/on-the-fly-lyrics-rem.html,0,On the Fly Lyrics,2016
http://www.metrolyrics.com/orange-crush-lyrics-rem.html,5,Orange Crush Lyrics,2003
http://www.metrolyrics.com/out-of-time-lyrics-rem.html,0,Out Of Time Lyrics,2006
http://www.metrolyrics.com/pale-blue-eyes-lyrics-rem.html,0,Pale Blue Eyes Lyrics,2006
http://www.metrolyrics.com/parakeet-lyrics-rem.html,0,Parakeet Lyrics,2006
http://www.metrolyrics.com/passenger-lyrics-rem.html,0,Passenger Lyrics,2006
http://www.metrolyrics.com/perfect-circle-lyrics-rem.html,0,Perfect Circle Lyrics,2014
http://www.metrolyrics.com/permanent-vacation-lyrics-rem.html,0,Permanent Vacation Lyrics,2006
http://www.metrolyrics.com/photograph-lyrics-rem.html,0,Photograph Lyrics,2006
http://www.metrolyrics.com/pilgrimage-lyrics-rem.html,0,Pilgrimage Lyrics,2006
http://www.metrolyrics.com/pop-song-89-lyrics-rem.html,2,Pop Song 89 Lyrics,2011
http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,1,Pretty Persuasion Lyrics,2006
http://www.metrolyrics.com/psa-aka-bad-day-lyrics-rem.html,0,Psa (a.k.a. Bad Day) Lyrics,2006
http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,5,Radio Free Europe Lyrics,2011
http://www.metrolyrics.com/radio-song-lyrics-rem.html,1,Radio Song Lyrics,2014
http://www.metrolyrics.com/revolution-lyrics-rem.html,0,Revolution Lyrics,2006
http://www.metrolyrics.com/rockville-lyrics-rem.html,0,Rockville Lyrics,2006
http://www.metrolyrics.com/romance-lyrics-rem.html,0,Romance Lyrics,2006
http://www.metrolyrics.com/rotary-11-lyrics-rem.html,0,Rotary 11 Lyrics,2014
http://www.metrolyrics.com/rotary-ten-lyrics-rem.html,0,Rotary Ten Lyrics,2008
http://www.metrolyrics.com/sad-professor-lyrics-rem.html,0,Sad Professor Lyrics,2014
http://www.metrolyrics.com/saturn-return-lyrics-rem.html,0,Saturn Return Lyrics,2006
http://www.metrolyrics.com/second-guessing-lyrics-rem.html,0,Second Guessing Lyrics,2006
http://www.metrolyrics.com/see-no-evil-lyrics-rem.html,0,See No Evil Lyrics,2006
http://www.metrolyrics.com/selingkar-kasih-lyrics-rem.html,7,Selingkar Kasih Lyrics,2010
http://www.metrolyrics.com/seven-chinese-brothers-lyrics-rem.html,0,Seven Chinese Brothers Lyrics,2006
http://www.metrolyrics.com/shaking-through-lyrics-rem.html,3,Shaking Through Lyrics,2006
